company_key,stability_score,region,rating,still_active,duration_days
suffolk primary care,12.9,rest_england,A,True,1041
ultimate care ltd t a bilton hall nursing home,12.9,rest_england,A,True,1041
spice hub caterers,12.9,rest_england,A,True,935
bluark construction,12.9,rest_england,A,True,1041
east durham signs,12.9,rest_england,A,True,935
aliizor ltd t a lizor care concept,12.9,rest_england,A,True,1041
med media group,12.9,rest_england,A,True,1
wok bruvvas,12.9,rest_england,A,False,542
abr pizzeria limited t a castle bistro,10.4,wales,A,True,1041
the real wrap,12.9,rest_england,A,False,475
the eden academy,12.9,rest_england,A,True,1041
the dentalist,12.9,rest_england,A,True,566
apxcel freight services,12.9,rest_england,A,True,1041
libas and more,12.9,rest_england,A,True,747
bg e consulting engineers,0.0,london,A,True,1041
interactive software,12.9,rest_england,A,True,209
sr grandad,12.9,rest_england,A,True,566
idre esia food store,27.8,scotland,A,True,935
berry maple,0.0,london,A,True,272
telit communications,0.0,london,A,True,1041
capernaum,12.9,rest_england,A,True,1041
albion chambers,12.9,rest_england,A,True,1041
jeniii ltd t a esso,12.9,rest_england,A,True,1041
dfh mk motors ltd t a ideal carz,12.9,rest_england,A,True,566
imranz takeaway,12.9,rest_england,A,True,846
ukz services,12.9,rest_england,A,True,1041
mien tay kingsland ltd t a mien tay,0.0,london,A,True,935
master fryer,12.9,rest_england,A,True,1041
the chaseley trust,12.9,rest_england,A,True,1041
weston stores ltd t a weston convenience store,12.9,rest_england,A,True,1041
green range ltd t a the willows care home,0.0,london,A,True,1041
fortis security services,12.9,rest_england,A,True,393
abell,0.0,london,A,True,846
iea environmental projects,12.9,rest_england,A,True,1041
mitchell s newsagent t a costcutter,12.9,rest_england,A,True,1041
selling united,0.0,london,A,True,846
tailors of deansgate,12.9,rest_england,A,True,747
lee house surgery,12.9,rest_england,A,True,1041
mace consult,0.0,london,A,True,1
harikrishna beverages ltd t a mooboo bubble tea,12.9,rest_england,A,True,1041
the rufina childrens foundation,12.9,rest_england,A,False,726
anvil analytical,0.0,london,A,True,1041
ec aylesbury kingsbrooks ltd ta esquires coffee,12.9,rest_england,A,True,566
angie s london,0.0,london,A,True,747
fugen uk,12.9,rest_england,A,True,935
sunny double glazing,12.9,rest_england,A,True,1041
vi360,0.0,london,A,True,935
datastax uk,0.0,london,A,False,832
quantum i computing,0.0,london,A,True,1041
gold look ltd t a ashiana,12.9,rest_england,A,False,648
couchbase,0.0,london,A,True,1041
curzon street dental practice,12.9,rest_england,A,True,1041
the wiltshire chilli farm,12.9,rest_england,A,True,1041
f f estates,12.9,rest_england,A,True,935
handa construction london,12.9,rest_england,A,True,846
imperial trades and projects,12.9,rest_england,A,True,1041
little angels day nursery pre prep school highbury,0.0,london,A,True,1041
creedy carver,12.9,rest_england,A,True,1041
harvey and london ltd t a the osteopaths,12.9,rest_england,A,True,1041
alphanove consultancy,0.0,london,A,True,1041
hobson square,12.9,rest_england,A,True,1041
unionpay international co ltd uk branch,0.0,london,A,True,1041
zhangji oriental food,12.9,rest_england,A,True,1041
anima residential care,12.9,rest_england,A,True,467
xlrt,12.9,rest_england,A,True,846
gbu care support services,12.9,rest_england,A,False,1
invisionapp uk,0.0,london,A,False,769
uunited home improvements,12.9,rest_england,A,True,935
